Company,Item,Calories,Protein,Protein Focused Diet
KFC,Breast,260,38,
KFC,KENTUCKY GRILLED CHICKEN Breast,210,38,
KFC,KFC® Gizzards,300,20,
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Thigh,280,19,
KFC,EXTRA CRISPY  Tender (each),260,19,
KFC,Thigh,180,17,
KFC,KENTUCKY GRILLED CHICKEN Thigh,150,17,
KFC,KFC® Livers,230,17,
KFC,Chicken Littles,300,14,
KFC,SPICY CRISPY CHICKEN Thigh,270,13,
,,,,Calorie Focused Diet
KFC,Chicken Littles,300,14,
KFC,KFC® Gizzards,300,20,
KFC,Chicken Whole Wing,290,10,
KFC,POPCORN NUGGETS Kids,290,13,
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Thigh,280,19,
KFC,Sweet Kernel Corn (Family),280,10,
KFC,SPICY CRISPY CHICKEN Thigh,270,13,
KFC,KFC® Famous Bowl – Snack Size,270,11,
KFC,Breast,260,38,
KFC,EXTRA CRISPY  Tender (each),260,19,
,,,,Low Sugar Diet
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Limited Time Drumstick,130,0,
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Thigh,280,0,
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Whole Wing,130,0,
KFC,Chicken Drumstick,250,0,
KFC,Breast,260,0,
KFC,Drumstick,100,0,
KFC,Thigh,180,0,
KFC,Whole Wing,90,0,
KFC,Drumstick,190,0,
KFC,Whole Wing,180,0,
KFC,EXTRA CRISPY  Chicken Drumstick,170,0,
KFC,EXTRA CRISPY  Chicken Whole Wing,170,0,
KFC,KENTUCKY GRILLED CHICKEN Breast,210,0,
KFC,KENTUCKY GRILLED CHICKEN Drumstick,80,0,
KFC,KENTUCKY GRILLED CHICKEN Thigh,150,0,
KFC,KENTUCKY GRILLED CHICKEN Whole Wing,70,0,
KFC,SPICY CRISPY CHICKEN Drumstick,130,0,
KFC,SPICY CRISPY CHICKEN Thigh,270,0,
KFC,SPICY CRISPY CHICKEN Whole Wing,120,0,
KFC,EXTRA CRISPY  Tender (each),260,0,
KFC,EXTRA CRISPY  Tender (each),220,0,
KFC,KENTUCKY FRIED WINGS Buffalo,100,0,
KFC,KENTUCKY FRIED WINGS Nashville Hot,130,0,
KFC,KENTUCKY FRIED WINGS Unsauced,80,0,
KFC,POPCORN NUGGETS Kids,290,0,
KFC,Mashed Potatoes,110,0,
KFC,Mashed Potatoes With Gravy,130,0,
KFC,Parmesan Garlic Croutons,60,0,
KFC,Colonel’s Buttery Spread,35,0,
KFC,Lemon Juice Packet,5,0,
KFC,Diet Dr Pepper® (12 fl oz),0,0,
KFC,Diet Dr Pepper® (16 fl oz),0,0,
KFC,Diet Dr Pepper® (20 fl oz),0,0,
KFC,Diet Dr Pepper® (30 fl oz),0,0,
KFC,Diet Mist Twst® (12 fl oz),0,0,
KFC,Diet Mist Twst® (16 fl oz),0,0,
KFC,Diet Mist Twst® (20 fl oz),0,0,
KFC,Diet Mist Twst® (30 fl oz),5,0,
KFC,Diet Mountain Dew® (12 fl oz),0,0,
KFC,Diet Mountain Dew® (16 fl oz),5,0,
KFC,Diet Pepsi® (12 fl oz),0,0,
KFC,Diet Pepsi® (16 fl oz),0,0,
KFC,Diet Pepsi® (20 fl oz),0,0,
KFC,Diet Pepsi® (30 fl oz),0,0,
KFC,Diet Pepsi® Wild Cherry Pepsi® (12 fl oz),0,0,
KFC,Diet Pepsi® Wild Cherry Pepsi® (16 fl oz),0,0,
KFC,Diet Pepsi® Wild Cherry Pepsi® (20 fl oz),0,0,
KFC,Diet Pepsi® Wild Cherry Pepsi® (30 fl oz),0,0,
KFC,Lipton® Brisk® No Calorie Peach Iced Green Tea (12 fl oz),0,0,
KFC,Lipton® Brisk® No Calorie Peach Iced Green Tea (16 fl oz),0,0,
KFC,Lipton® Brisk® No Calorie Peach Iced Green Tea (20 fl oz),5,0,
KFC,Lipton® Brisk® No Calorie Peach Iced Green Tea (30 fl oz),10,0,
KFC,Lipton® Brisk® Unsweetened No Lemon Iced Tea (12 fl oz),0,0,
KFC,Lipton® Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),0,0,
KFC,Lipton® Brisk® Unsweetened No Lemon Iced Tea (20 fl oz),0,0,
KFC,Lipton® Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),0,0,
KFC,Pepsi Zero Sugar® (12 fl oz),0,0,
KFC,Pepsi Zero Sugar® (16 fl oz),0,0,
KFC,Pepsi Zero Sugar® (20 fl oz),0,0,
KFC,Pepsi Zero Sugar® (30 fl oz),0,0,
KFC,Sobe Lifewater Yumberry Pomegranate (12 fl oz),0,0,
KFC,Sobe Lifewater Yumberry Pomegranate (16 fl oz),0,0,
KFC,Sobe Lifewater Yumberry Pomegranate (20 fl oz),0,0,
KFC,Sobe Lifewater Yumberry Pomegranate (30 fl oz),5,0,
KFC,Tropicana® Light Lemonade (12 fl oz),5,0,
KFC,Tropicana® Light Lemonade (16 fl oz),10,0,
KFC,Tropicana® Light Lemonade (20 fl oz),10,0,
KFC,Tropicana® Light Lemonade (30 fl oz),15,0,
KFC,KFC® Gizzards,300,0,
KFC,KFC® Livers,230,0,
KFC,Chicken Whole Wing,290,1,
KFC,Biscuit,180,1,
KFC,Green Beans,25,1,
KFC,KFC® Famous Bowl – Snack Size,270,1,
KFC,Caesar Side Salad,40,1,
KFC,Heinz Buttermilk Dressing,160,1,
KFC,Marzetti Light Italian Dressing,15,1,
KFC,Ranch – Dipping Sauce Cup,130,1,
KFC,Diet Mountain Dew® (20 fl oz),10,1,
KFC,Diet Mountain Dew® (30 fl oz),10,1,
KFC,Macaroni & Cheese,140,2,
KFC,Sweet Kernel Corn,70,2,
KFC,House Side Salad,15,2,
