Company,Item,Calories,Protein,Protein Focused Diet
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260,33,
McDonald’s,Premium Caesar Salad with Grilled Chicken,220,30,
McDonald’s,Ranch Snack Wrap® (Grilled),270,18,
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260,18,
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260,18,
McDonald’s,Egg McMuffin®,300,18,
McDonald’s,Cheeseburger,300,15,
McDonald’s,Chicken McNuggets® (6 piece),280,13,
McDonald’s,Hamburger,250,12,
McDonald’s,Sausage Burrito,300,12,
,,,,Calorie Focused Diet
McDonald’s,Cheeseburger,300,15,
McDonald’s,Egg McMuffin®,300,18,
McDonald’s,Sausage Burrito,300,12,
McDonald’s,Iced Nonfat Caramel Mocha (Large),300,11,
McDonald’s,Chicken McNuggets® (6 piece),280,13,
McDonald’s,Nonfat Caramel Mocha (Large),280,12,
McDonald’s,Ranch Snack Wrap® (Grilled),270,18,
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260,18,
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260,18,
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260,33,
,,,,Low Sugar Diet
McDonald’s,Small French Fries,230,0,
McDonald’s,Salt Packet,0,0,
McDonald’s,Chicken McNuggets® (4 piece),190,0,
McDonald’s,Chicken McNuggets® (6 piece),280,0,
McDonald’s,Spicy Buffalo Sauce,60,0,
McDonald’s,Butter Garlic Croutons,60,0,
McDonald’s,Whipped Margarine (1 pat),40,0,
McDonald’s,Hash Brown,150,0,
McDonald’s,Peanuts (for Sundaes),45,0,
McDonald’s,Dasani® Water,0,0,
McDonald’s,Diet Coke® (Child),0,0,
McDonald’s,Diet Coke® (Small),0,0,
McDonald’s,Diet Coke® (Medium),0,0,
McDonald’s,Diet Coke® (Large),0,0,
McDonald’s,Iced Tea (Child),0,0,
McDonald’s,Iced Tea (Small),0,0,
McDonald’s,Iced Tea (Medium),0,0,
McDonald’s,Iced Tea (Large),0,0,
McDonald’s,Coffee (Small),0,0,
McDonald’s,Coffee (Large),0,0,
McDonald’s,Coffee Cream,20,0,
McDonald’s,Creamy Ranch Sauce,170,1,
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60,1,
McDonald’s,EQUAL® 0 Calorie Sweetener,0,1,
McDonald’s,SPLENDA® No Calorie Sweetener,0,1,
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Small),60,1,
McDonald’s,Barbeque Sauce,50,10,
McDonald’s,Sweet ‘N Sour Sauce,50,10,
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70,10,
McDonald’s,Latte with Sugar Free Vanilla Syrup (Small),130,10,
McDonald’s,Iced Latte (Large),140,10,
,,,,No Red Meat
McDonald’s,Chicken McNuggets® (4 piece),190,9,
McDonald’s,Premium Caesar Salad with Grilled Chicken,220,30,
McDonald’s,Chicken McNuggets® (6 piece),280,13,
McDonald’s,Premium Southwest Salad with Grilled Chicken,320,30,
McDonald’s,Premium Caesar Salad with Crispy Chicken,330,26,
McDonald’s,McChicken ®,360,14,
McDonald’s,Premium Grilled Chicken Classic Sandwich,360,27,
McDonald’s,4 Piece Chicken McNuggets Happy Meal,395,19,
McDonald’s,Southern Style Crispy Chicken Sandwich,400,24,
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400,23,
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410,17,
McDonald’s,Premium Southwest Salad with Crispy Chicken,430,26,
McDonald’s,Premium Grilled Chicken Club Sandwich,460,35,
McDonald’s,Chicken McNuggets® (10 piece),470,22,
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470,17,
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,475,24,
McDonald’s,Premium Crispy Chicken Classic Sandwich,510,24,
