Company,Item,Calories,Protein,Protein Focused Diet
Wendy’s,"Berry Burst Chicken Salad, Half Size",290,23,
Wendy’s,"Chili, Large",250,23,
Wendy’s,"Southwest Avocado Chicken Salad, Half Size",300,21,
Wendy’s,Grilled Chicken Wrap,270,20,
Wendy’s,Kids Grilled Chicken Wrap,270,20,
Wendy’s,Jr. Cheeseburger,280,16,
Wendy’s,"Chili, Small",170,15,
Wendy’s,Kids 2 Piece Chicken Tenders,200,15,
Wendy’s,Kids Cheeseburger,280,15,
Wendy’s,6 Picece Chicken Nuggets,250,13,
,,,,Calorie Focused Diet
Wendy’s,"Southwest Avocado Chicken Salad, Half Size",300,21,
Wendy’s,"Berry Burst Chicken Salad, Half Size",290,23,
Wendy’s,Jr. Cheeseburger,280,16,
Wendy’s,Kids Cheeseburger,280,15,
Wendy’s,Grilled Chicken Wrap,270,20,
Wendy’s,Kids Grilled Chicken Wrap,270,20,
Wendy’s,6 Picece Chicken Nuggets,250,13,
Wendy’s,"Chili, Large",250,23,
Wendy’s,Kids Hamburger,240,13,
Wendy’s,Kids 2 Piece Chicken Tenders,200,15,
,,,,Low Sugar Diet
Wendy’s,4 Piece Chicken Nuggets,170,0,
Wendy’s,6 Picece Chicken Nuggets,250,0,
Wendy’s,"Natural-Cut Fries, Junior",230,0,
Wendy’s,"Brewed Unsweetened Iced Tea, Large",5,0,
Wendy’s,"Brewed Unsweetened Iced Tea, Medium",0,0,
Wendy’s,"Brewed Unsweetened Iced Tea, Small",0,0,
Wendy’s,"Coca-Cola Zero Sugar, Large",0,0,
Wendy’s,"Coca-Cola Zero Sugar, Medium",0,0,
Wendy’s,"Coca-Cola Zero Sugar, Small",0,0,
Wendy’s,"Diet Coke, Large",0,0,
Wendy’s,"Diet Coke, Medium",0,0,
Wendy’s,"Diet Coke, Small",0,0,
Wendy’s,Hot Tea,0,0,
Wendy’s,"Minute Maid Light Lemonade, Large",15,0,
Wendy’s,"Minute Maid Light Lemonade, Medium",10,0,
Wendy’s,"Minute Maid Light Lemonade, Small",5,0,
Wendy’s,"Skinny Vanilla Iced Coffee, Medium",100,0,
Wendy’s,"Skinny Vanilla Iced Coffee, Small",70,0,
Wendy’s,Kids 2 Piece Chicken Tenders,200,0,
Wendy’s,Kids 4 Piece Chicken Nuggets,170,0,
Wendy’s,"Seasoned Home-Style Potatoes, Small",230,0,
Wendy’s,"Seasoned Home-Style Potatoes, Medium",250,1,
Wendy’s,Grilled Chicken Wrap,270,3,
Wendy’s,S’Awesome Sauce,120,3,
Wendy’s,Plain Baked Potato,270,3,
Wendy’s,Summer Berry Burst Fruit Cup,20,3,
Wendy’s,Kids Grilled Chicken Wrap,270,3,
Wendy’s,Caesar Side Salad,240,4,
Wendy’s,Garden Side Salad,250,4,
Wendy’s,"Southwest Avocado Chicken Salad, Half Size",300,4,
Wendy’s,Kids Cheeseburger,280,5,
Wendy’s,Kids Hamburger,240,5,
Wendy’s,Jr. Cheeseburger,280,6,
Wendy’s,"Chili, Small",170,6,
Wendy’s,Apple Bites,35,7,
Wendy’s,"Chili, Large",250,9,
Wendy’s,1% White Milk,90,10,
Wendy’s,"Strawberry Tea, Small",45,10,
,,,,No Red Meat
Wendy’s,4 Piece Chicken Nuggets,170,9,
Wendy’s,Kids 4 Piece Chicken Nuggets,170,9,
Wendy’s,Kids 2 Piece Chicken Tenders,200,15,
Wendy’s,6 Picece Chicken Nuggets,250,13,
Wendy’s,Grilled Chicken Wrap,270,20,
Wendy’s,Kids Grilled Chicken Wrap,270,20,
Wendy’s,"Berry Burst Chicken Salad, Half Size",290,23,
Wendy’s,"Southwest Avocado Chicken Salad, Half Size",300,21,
Wendy’s,3 Piece Chicken Tenders,330,24,
Wendy’s,Crispy Chicken Sandwich,330,14,
Wendy’s,"Apple Pecan Chicken Salad, Half Size",340,20,
Wendy’s,Grilled Chicken Sandwich,370,34,
Wendy’s,Spicy Chicken Wrap,370,18,
Wendy’s,"Spicy Caesar Chicken Salad, Half Size",410,23,
Wendy’s,10 Piece Chicken Nuggets,420,22,
Wendy’s,4 Piece Chicken Tenders,430,32,
Wendy’s,"Berry Burst Chicken Salad, Full Size",460,41,
Wendy’s,Honey Butter Chicken Biscuit,500,19,
Wendy’s,Homestyle Chicken Sandwich,510,28,
Wendy’s,Spicy Chicken Sandwich,510,29,
Wendy’s,"Apple Pecan Chicken Salad, Full Size",560,38,
Wendy’s,"Southwest Avocado Chicken Salad, Full Size",600,42,
